Confirmed,Country/Region,Deaths,Last Update,Latitude,Longitude,Province/State,Recovered
8.0,Mainland China,,2020-01-24 17:00:00,,,Hainan,
8.0,Mainland China,,2020-01-24 17:00:00,,,Tianjin,
5.0,Mainland China,,2020-01-24 17:00:00,,,Yunnan,
5.0,Mainland China,,2020-01-24 17:00:00,,,Shaanxi,
4.0,Mainland China,1.0,2020-01-24 17:00:00,,,Heilongjiang,
4.0,Mainland China,,2020-01-24 17:00:00,,,Liaoning,
3.0,Mainland China,,2020-01-24 17:00:00,,,Guizhou,
3.0,Mainland China,,2020-01-24 17:00:00,,,Jilin,
3.0,Taiwan,,2020-01-24 17:00:00,,,Taiwan,
2.0,Mainland China,,2020-01-24 17:00:00,,,Ningxia,
2.0,Hong Kong,,2020-01-24 17:00:00,,,Hong Kong,
2.0,Macau,,2020-01-24 17:00:00,,,Macau,
2.0,Mainland China,1.0,2020-01-24 17:00:00,,,Hebei,
2.0,Mainland China,,2020-01-24 17:00:00,,,Gansu,
2.0,Mainland China,,2020-01-24 17:00:00,,,Xinjiang,
1.0,Mainland China,,2020-01-24 17:00:00,,,Shanxi,
1.0,Mainland China,,2020-01-24 17:00:00,,,Inner Mongolia,
,Mainland China,,2020-01-24 17:00:00,,,Qinghai,
1.0,US,,2020-01-24 17:00:00,,,Washington,
1.0,US,,2020-01-24 17:00:00,,,Chicago,
2.0,Japan,,2020-01-24 17:00:00,,,,
5.0,Thailand,,2020-01-24 17:00:00,,,,
2.0,South Korea,,2020-01-24 17:00:00,,,,
3.0,Singapore,,2020-01-24 17:00:00,,,,
2.0,Vietnam,,2020-01-24 17:00:00,,,,
2.0,France,,2020-01-24 17:00:00,,,,
761.0,Mainland China,40.0,2020-01-25 17:00:00,,,Hubei,32.0
78.0,Mainland China,,2020-01-25 17:00:00,,,Guangdong,2.0
62.0,Mainland China,,2020-01-25 17:00:00,,,Zhejiang,1.0
57.0,Mainland China,,2020-01-25 17:00:00,,,Chongqing,
43.0,Mainland China,,2020-01-25 17:00:00,,,Hunan,
41.0,Mainland China,,2020-01-25 17:00:00,,,Beijing,2.0
39.0,Mainland China,,2020-01-25 17:00:00,,,Anhui,
33.0,Mainland China,,2020-01-25 17:00:00,,,Shanghai,1.0
32.0,Mainland China,,2020-01-25 17:00:00,,,Henan,
28.0,Mainland China,,2020-01-25 17:00:00,,,Sichuan,
27.0,Mainland China,,2020-01-25 17:00:00,,,Shandong,
23.0,Mainland China,,2020-01-25 17:00:00,,,Guangxi,
19.0,Mainland China,,2020-01-25 17:00:00,,,Hainan,
18.0,Mainland China,,2020-01-25 17:00:00,,,Jiangxi,
18.0,Mainland China,,2020-01-25 17:00:00,,,Fujian,
18.0,Mainland China,,2020-01-25 17:00:00,,,Jiangsu,1.0
17.0,Mainland China,,2020-01-25 17:00:00,,,Liaoning,
15.0,Mainland China,,2020-01-25 17:00:00,,,Shaanxi,
11.0,Mainland China,,2020-01-25 17:00:00,,,Yunnan,
10.0,Mainland China,,2020-01-25 17:00:00,,,Tianjin,
9.0,Mainland China,1.0,2020-01-25 17:00:00,,,Heilongjiang,
8.0,Mainland China,1.0,2020-01-25 17:00:00,,,Hebei,
7.0,Mainland China,,2020-01-25 17:00:00,,,Inner Mongolia,
6.0,Mainland China,,2020-01-25 17:00:00,,,Shanxi,
5.0,Hong Kong,,2020-01-25 17:00:00,,,Hong Kong,
4.0,Mainland China,,2020-01-25 17:00:00,,,Guizhou,
4.0,Mainland China,,2020-01-25 17:00:00,,,Jilin,
4.0,Mainland China,,2020-01-25 17:00:00,,,Gansu,
3.0,Mainland China,,2020-01-25 17:00:00,,,Ningxia,
3.0,Taiwan,,2020-01-25 17:00:00,,,Taiwan,
3.0,Mainland China,,2020-01-25 17:00:00,,,Xinjiang,
2.0,Macau,,2020-01-25 17:00:00,,,Macau,
1.0,Mainland China,,2020-01-25 17:00:00,,,Qinghai,
1.0,US,,2020-01-25 17:00:00,,,Washington,
1.0,US,,2020-01-25 17:00:00,,,Illinois,
2.0,Japan,,2020-01-25 17:00:00,,,,
7.0,Thailand,,2020-01-25 17:00:00,,,,
2.0,South Korea,,2020-01-25 17:00:00,,,,
3.0,Singapore,,2020-01-25 17:00:00,,,,
2.0,Vietnam,,2020-01-25 17:00:00,,,,
3.0,France,,2020-01-25 17:00:00,,,,
4.0,Australia,,2020-01-25 17:00:00,,,,
1.0,Nepal,,2020-01-25 17:00:00,,,,
3.0,Malaysia,,2020-01-25 17:00:00,,,,
1058.0,Mainland China,52.0,2020-01-26 16:00:00,,,Hubei,42.0
111.0,Mainland China,,2020-01-26 16:00:00,,,Guangdong,2.0
104.0,Mainland China,,2020-01-26 16:00:00,,,Zhejiang,1.0
83.0,Mainland China,1.0,2020-01-26 16:00:00,,,Henan,
75.0,Mainland China,,2020-01-26 16:00:00,,,Chongqing,
69.0,Mainland China,,2020-01-26 16:00:00,,,Hunan,
68.0,Mainland China,,2020-01-26 16:00:00,,,Beijing,2.0
60.0,Mainland China,,2020-01-26 16:00:00,,,Anhui,
46.0,Mainland China,,2020-01-26 16:00:00,,,Shandong,
44.0,Mainland China,,2020-01-26 16:00:00,,,Sichuan,
40.0,Mainland China,1.0,2020-01-26 16:00:00,,,Shanghai,1.0
36.0,Mainland China,,2020-01-26 16:00:00,,,Guangxi,
36.0,Mainland China,,2020-01-26 16:00:00,,,Jiangxi,
35.0,Mainland China,,2020-01-26 16:00:00,,,Fujian,
33.0,Mainland China,,2020-01-26 16:00:00,,,Jiangsu,1.0
22.0,Mainland China,,2020-01-26 16:00:00,,,Hainan,
22.0,Mainland China,,2020-01-26 16:00:00,,,Shaanxi,
21.0,Mainland China,,2020-01-26 16:00:00,,,Liaoning,
16.0,Mainland China,,2020-01-26 16:00:00,,,Yunnan,
15.0,Mainland China,1.0,2020-01-26 16:00:00,,,Heilongjiang,
14.0,Mainland China,,2020-01-26 16:00:00,,,Tianjin,
13.0,Mainland China,1.0,2020-01-26 16:00:00,,,Hebei,
9.0,Mainland China,,2020-01-26 16:00:00,,,Shanxi,
8.0,Hong Kong,,2020-01-26 16:00:00,,,Hong Kong,
7.0,Mainland China,,2020-01-26 16:00:00,,,Inner Mongolia,
7.0,Mainland China,,2020-01-26 16:00:00,,,Gansu,
5.0,Mainland China,,2020-01-26 16:00:00,,,Guizhou,
5.0,Macau,,2020-01-26 16:00:00,,,Macau,
4.0,Mainland China,,2020-01-26 16:00:00,,,Ningxia,
4.0,Mainland China,,2020-01-26 16:00:00,,,Jilin,
4.0,Taiwan,,2020-01-26 16:00:00,,,Taiwan,
4.0,Mainland China,,2020-01-26 16:00:00,,,Xinjiang,
1.0,Mainland China,,2020-01-26 16:00:00,,,Qinghai,
1.0,US,,2020-01-26 16:00:00,,,Washington,
1.0,US,,2020-01-26 16:00:00,,,Illinois,
2.0,US,,2020-01-26 16:00:00,,,California,
1.0,US,,2020-01-26 16:00:00,,,Arizona,
4.0,Japan,,2020-01-26 16:00:00,,,,1.0
8.0,Thailand,,2020-01-26 16:00:00,,,,2.0
3.0,South Korea,,2020-01-26 16:00:00,,,,
4.0,Singapore,,2020-01-26 16:00:00,,,,
2.0,Vietnam,,2020-01-26 16:00:00,,,,
3.0,France,,2020-01-26 16:00:00,,,,
4.0,Australia,,2020-01-26 16:00:00,,,,
1.0,Nepal,,2020-01-26 16:00:00,,,,
4.0,Malaysia,,2020-01-26 16:00:00,,,,
1.0,Canada,,2020-01-26 16:00:00,,,Ontario,
1423.0,Mainland China,76.0,2020-01-27 23:59:00,,,Hubei,45.0
151.0,Mainland China,,2020-01-27 23:59:00,,,Guangdong,4.0
128.0,Mainland China,,2020-01-27 23:59:00,,,Zhejiang,1.0
128.0,Mainland China,1.0,2020-01-27 23:59:00,,,Henan,
110.0,Mainland China,,2020-01-27 23:59:00,,,Chongqing,
100.0,Mainland China,,2020-01-27 23:59:00,,,Hunan,
80.0,Mainland China,1.0,2020-01-27 23:59:00,,,Beijing,2.0
75.0,Mainland China,,2020-01-27 23:59:00,,,Shandong,
72.0,Mainland China,,2020-01-27 23:59:00,,,Jiangxi,2.0
70.0,Mainland China,,2020-01-27 23:59:00,,,Anhui,
69.0,Mainland China,,2020-01-27 23:59:00,,,Sichuan,
59.0,Mainland China,,2020-01-27 23:59:00,,,Fujian,
53.0,Mainland China,1.0,2020-01-27 23:59:00,,,Shanghai,3.0
47.0,Mainland China,,2020-01-27 23:59:00,,,Jiangsu,1.0
46.0,Mainland China,,2020-01-27 23:59:00,,,Guangxi,
35.0,Mainland China,,2020-01-27 23:59:00,,,Shaanxi,
33.0,Mainland China,1.0,2020-01-27 23:59:00,,,Hainan,
27.0,Mainland China,,2020-01-27 23:59:00,,,Liaoning,
26.0,Mainland China,,2020-01-27 23:59:00,,,Yunnan,
23.0,Mainland China,,2020-01-27 23:59:00,,,Tianjin,
21.0,Mainland China,1.0,2020-01-27 23:59:00,,,Heilongjiang,
18.0,Mainland China,1.0,2020-01-27 23:59:00,,,Hebei,
14.0,Mainland China,,2020-01-27 23:59:00,,,Gansu,
13.0,Mainland China,,2020-01-27 23:59:00,,,Shanxi,
11.0,Mainland China,,2020-01-27 23:59:00,,,Inner Mongolia,
8.0,Hong Kong,,2020-01-27 23:59:00,,,Hong Kong,
7.0,Mainland China,,2020-01-27 23:59:00,,,Guizhou,
7.0,Mainland China,,2020-01-27 23:59:00,,,Ningxia,
6.0,Mainland China,,2020-01-27 23:59:00,,,Jilin,
6.0,Macau,,2020-01-27 23:59:00,,,Macau,
6.0,Mainland China,,2020-01-27 23:59:00,,,Qinghai,
5.0,Taiwan,,2020-01-27 23:59:00,,,Taiwan,
5.0,Mainland China,,2020-01-27 23:59:00,,,Xinjiang,
1.0,US,,2020-01-27 23:59:00,,,Washington,
1.0,US,,2020-01-27 23:59:00,,,Illinois,
2.0,US,,2020-01-27 23:59:00,,,California,
1.0,US,,2020-01-27 23:59:00,,,Arizona,
4.0,Japan,,2020-01-27 23:59:00,,,,1.0
8.0,Thailand,,2020-01-27 23:59:00,,,,2.0
4.0,South Korea,,2020-01-27 23:59:00,,,,
5.0,Singapore,,2020-01-27 23:59:00,,,,
2.0,Vietnam,,2020-01-27 23:59:00,,,,
3.0,France,,2020-01-27 23:59:00,,,,
1.0,Nepal,,2020-01-27 23:59:00,,,,
4.0,Malaysia,,2020-01-27 23:59:00,,,,
1.0,Canada,,2020-01-27 23:59:00,,,Ontario,
1.0,Cambodia,,2020-01-27 23:59:00,,,,
1.0,Sri Lanka,,2020-01-27 23:59:00,,,,
1.0,Ivory Coast,,2020-01-27 23:59:00,,,,
4.0,Australia,,2020-01-27 23:59:00,,,New South Wales,
1.0,Australia,,2020-01-27 23:59:00,,,Victoria,
3554.0,Mainland China,125.0,2020-01-28 23:00:00,,,Hubei,80.0
207.0,Mainland China,,2020-01-28 23:00:00,,,Guangdong,4.0
173.0,Mainland China,,2020-01-28 23:00:00,,,Zhejiang,3.0
168.0,Mainland China,1.0,2020-01-28 23:00:00,,,Henan,
143.0,Mainland China,,2020-01-28 23:00:00,,,Hunan,
132.0,Mainland China,,2020-01-28 23:00:00,,,Chongqing,
109.0,Mainland China,,2020-01-28 23:00:00,,,Jiangxi,3.0
106.0,Mainland China,,2020-01-28 23:00:00,,,Anhui,
95.0,Mainland China,,2020-01-28 23:00:00,,,Shandong,
91.0,Mainland China,1.0,2020-01-28 23:00:00,,,Beijing,4.0
90.0,Mainland China,,2020-01-28 23:00:00,,,Sichuan,
80.0,Mainland China,,2020-01-28 23:00:00,,,Fujian,
70.0,Mainland China,,2020-01-28 23:00:00,,,Jiangsu,1.0
66.0,Mainland China,1.0,2020-01-28 23:00:00,,,Shanghai,4.0
51.0,Mainland China,,2020-01-28 23:00:00,,,Guangxi,2.0
46.0,Mainland China,,2020-01-28 23:00:00,,,Shaanxi,
44.0,Mainland China,,2020-01-28 23:00:00,,,Yunnan,
40.0,Mainland China,1.0,2020-01-28 23:00:00,,,Hainan,
34.0,Mainland China,,2020-01-28 23:00:00,,,Liaoning,
33.0,Mainland China,1.0,2020-01-28 23:00:00,,,Hebei,
33.0,Mainland China,1.0,2020-01-28 23:00:00,,,Heilongjiang,
27.0,Mainland China,,2020-01-28 23:00:00,,,Shanxi,
24.0,Mainland China,,2020-01-28 23:00:00,,,Tianjin,
19.0,Mainland China,,2020-01-28 23:00:00,,,Gansu,
15.0,Mainland China,,2020-01-28 23:00:00,,,Inner Mongolia,
11.0,Mainland China,,2020-01-28 23:00:00,,,Ningxia,
10.0,Mainland China,,2020-01-28 23:00:00,,,Xinjiang,
9.0,Mainland China,,2020-01-28 23:00:00,,,Guizhou,
8.0,Mainland China,,2020-01-28 23:00:00,,,Jilin,
8.0,Taiwan,,2020-01-28 23:00:00,,,Taiwan,
8.0,Hong Kong,,2020-01-28 23:00:00,,,Hong Kong,
7.0,Macau,,2020-01-28 23:00:00,,,Macau,
6.0,Mainland China,,2020-01-28 23:00:00,,,Qinghai,
1.0,US,,2020-01-28 23:00:00,,,Washington,
1.0,US,,2020-01-28 23:00:00,,,Illinois,
2.0,US,,2020-01-28 23:00:00,,,California,
1.0,US,,2020-01-28 23:00:00,,,Arizona,
7.0,Japan,,2020-01-28 23:00:00,,,,1.0
14.0,Thailand,,2020-01-28 23:00:00,,,,5.0
4.0,South Korea,,2020-01-28 23:00:00,,,,
7.0,Singapore,,2020-01-28 23:00:00,,,,
2.0,Vietnam,,2020-01-28 23:00:00,,,,
4.0,France,,2020-01-28 23:00:00,,,,
1.0,Nepal,,2020-01-28 23:00:00,,,,
4.0,Malaysia,,2020-01-28 23:00:00,,,,
1.0,Canada,,2020-01-28 23:00:00,,,Ontario,
1.0,Canada,,2020-01-28 23:00:00,,,British Columbia,
1.0,Cambodia,,2020-01-28 23:00:00,,,,
1.0,Sri Lanka,,2020-01-28 23:00:00,,,,
4.0,Australia,,2020-01-28 23:00:00,,,New South Wales,
1.0,Australia,,2020-01-28 23:00:00,,,Victoria,
4.0,Germany,,2020-01-28 23:00:00,,,Bavaria,
3554.0,Mainland China,125.0,2020-01-29 19:30:00,,,Hubei,88.0
296.0,Mainland China,,2020-01-29 19:30:00,,,Zhejiang,3.0
277.0,Mainland China,,2020-01-29 19:30:00,,,Guangdong,5.0
221.0,Mainland China,,2020-01-29 19:30:00,,,Hunan,
206.0,Mainland China,2.0,2020-01-29 19:30:00,,,Henan,1.0
152.0,Mainland China,,2020-01-29 19:30:00,,,Anhui,2.0
147.0,Mainland China,,2020-01-29 19:30:00,,,Chongqing,1.0
130.0,Mainland China,,2020-01-29 19:30:00,,,Shandong,1.0
111.0,Mainland China,1.0,2020-01-29 19:30:00,,,Beijing,4.0
109.0,Mainland China,,2020-01-29 19:30:00,,,Jiangxi,3.0
108.0,Mainland China,1.0,2020-01-29 19:30:00,,,Sichuan,1.0
99.0,Mainland China,,2020-01-29 19:30:00,,,Jiangsu,1.0
96.0,Mainland China,1.0,2020-01-29 19:30:00,,,Shanghai,5.0
84.0,Mainland China,,2020-01-29 19:30:00,,,Fujian,
58.0,Mainland China,,2020-01-29 19:30:00,,,Guangxi,2.0
56.0,Mainland China,,2020-01-29 19:30:00,,,Shaanxi,
55.0,Mainland China,,2020-01-29 19:30:00,,,Yunnan,
48.0,Mainland China,1.0,2020-01-29 19:30:00,,,Hebei,
43.0,Mainland China,1.0,2020-01-29 19:30:00,,,Hainan,
39.0,Mainland China,,2020-01-29 19:30:00,,,Liaoning,1.0
38.0,Mainland China,1.0,2020-01-29 19:30:00,,,Heilongjiang,
27.0,Mainland China,,2020-01-29 19:30:00,,,Tianjin,
27.0,Mainland China,,2020-01-29 19:30:00,,,Shanxi,1.0
24.0,Mainland China,,2020-01-29 19:30:00,,,Gansu,
16.0,Mainland China,,2020-01-29 19:30:00,,,Inner Mongolia,
13.0,Mainland China,,2020-01-29 19:30:00,,,Xinjiang,
12.0,Mainland China,,2020-01-29 19:30:00,,,Ningxia,
10.0,Hong Kong,,2020-01-29 19:30:00,,,Hong Kong,
9.0,Mainland China,,2020-01-29 19:30:00,,,Guizhou,1.0
9.0,Mainland China,,2020-01-29 19:30:00,,,Jilin,
8.0,Taiwan,,2020-01-29 19:30:00,,,Taiwan,
7.0,Macau,,2020-01-29 19:30:00,,,Macau,
6.0,Mainland China,,2020-01-29 19:30:00,,,Qinghai,
1.0,US,,2020-01-29 19:30:00,,,Washington,
1.0,US,,2020-01-29 19:30:00,,,Illinois,
2.0,US,,2020-01-29 19:30:00,,,California,
1.0,US,,2020-01-29 19:30:00,,,Arizona,
7.0,Japan,,2020-01-29 19:30:00,,,,1.0
14.0,Thailand,,2020-01-29 19:30:00,,,,5.0
4.0,South Korea,,2020-01-29 19:30:00,,,,
7.0,Singapore,,2020-01-29 19:30:00,,,,
2.0,Vietnam,,2020-01-29 19:30:00,,,,
5.0,France,,2020-01-29 19:30:00,,,,
1.0,Nepal,,2020-01-29 19:30:00,,,,
7.0,Malaysia,,2020-01-29 19:30:00,,,,
1.0,Canada,,2020-01-29 19:30:00,,,Ontario,
1.0,Canada,,2020-01-29 19:30:00,,,British Columbia,
1.0,Cambodia,,2020-01-29 19:30:00,,,,
1.0,Sri Lanka,,2020-01-29 19:30:00,,,,
4.0,Australia,,2020-01-29 19:30:00,,,New South Wales,
1.0,Australia,,2020-01-29 19:30:00,,,Victoria,
4.0,Germany,,2020-01-29 19:30:00,,,Bavaria,
1.0,Finland,,2020-01-29 19:30:00,,,,
4.0,United Arab Emirates,,2020-01-29 19:30:00,,,,
4903.0,Mainland China,162.0,2020-01-30 16:00:00,,,Hubei,90.0
428.0,Mainland China,,2020-01-30 16:00:00,,,Zhejiang,4.0
354.0,Mainland China,,2020-01-30 16:00:00,,,Guangdong,10.0
278.0,Mainland China,2.0,2020-01-30 16:00:00,,,Henan,2.0
277.0,Mainland China,,2020-01-30 16:00:00,,,Hunan,2.0
200.0,Mainland China,,2020-01-30 16:00:00,,,Anhui,2.0
182.0,Mainland China,,2020-01-30 16:00:00,,,Chongqing,1.0
162.0,Mainland China,,2020-01-30 16:00:00,,,Jiangxi,5.0
158.0,Mainland China,,2020-01-30 16:00:00,,,Shandong,1.0
142.0,Mainland China,1.0,2020-01-30 16:00:00,,,Sichuan,1.0
129.0,Mainland China,,2020-01-30 16:00:00,,,Jiangsu,1.0
114.0,Mainland China,1.0,2020-01-30 16:00:00,,,Beijing,4.0
112.0,Mainland China,1.0,2020-01-30 16:00:00,,,Shanghai,5.0
101.0,Mainland China,,2020-01-30 16:00:00,,,Fujian,
78.0,Mainland China,,2020-01-30 16:00:00,,,Guangxi,2.0
70.0,Mainland China,,2020-01-30 16:00:00,,,Yunnan,
65.0,Mainland China,1.0,2020-01-30 16:00:00,,,Hebei,
63.0,Mainland China,,2020-01-30 16:00:00,,,Shaanxi,
46.0,Mainland China,1.0,2020-01-30 16:00:00,,,Hainan,1.0
44.0,Mainland China,2.0,2020-01-30 16:00:00,,,Heilongjiang,
41.0,Mainland China,,2020-01-30 16:00:00,,,Liaoning,1.0
35.0,Mainland China,,2020-01-30 16:00:00,,,Shanxi,1.0
31.0,Mainland China,,2020-01-30 16:00:00,,,Tianjin,
26.0,Mainland China,,2020-01-30 16:00:00,,,Gansu,
19.0,Mainland China,,2020-01-30 16:00:00,,,Inner Mongolia,
17.0,Mainland China,,2020-01-30 16:00:00,,,Ningxia,
14.0,Mainland China,,2020-01-30 16:00:00,,,Jilin,1.0
14.0,Mainland China,,2020-01-30 16:00:00,,,Xinjiang,
12.0,Mainland China,,2020-01-30 16:00:00,,,Guizhou,1.0
10.0,Hong Kong,,2020-01-30 16:00:00,,,Hong Kong,
9.0,Taiwan,,2020-01-30 16:00:00,,,Taiwan,
8.0,Mainland China,,2020-01-30 16:00:00,,,Qinghai,
7.0,Macau,,2020-01-30 16:00:00,,,Macau,
1.0,Mainland China,,2020-01-30 16:00:00,,,Tibet,
1.0,US,,2020-01-30 16:00:00,,,Washington,
1.0,US,,2020-01-30 16:00:00,,,Illinois,
2.0,US,,2020-01-30 16:00:00,,,California,
1.0,US,,2020-01-30 16:00:00,,,Arizona,
11.0,Japan,,2020-01-30 16:00:00,,,,1.0
14.0,Thailand,,2020-01-30 16:00:00,,,,5.0
4.0,South Korea,,2020-01-30 16:00:00,,,,
10.0,Singapore,,2020-01-30 16:00:00,,,,
2.0,Vietnam,,2020-01-30 16:00:00,,,,
5.0,France,,2020-01-30 16:00:00,,,,
1.0,Nepal,,2020-01-30 16:00:00,,,,
8.0,Malaysia,,2020-01-30 16:00:00,,,,
2.0,Canada,,2020-01-30 16:00:00,,,Ontario,
1.0,Canada,,2020-01-30 16:00:00,,,British Columbia,
1.0,Cambodia,,2020-01-30 16:00:00,,,,
1.0,Sri Lanka,,2020-01-30 16:00:00,,,,
4.0,Australia,,2020-01-30 16:00:00,,,New South Wales,2.0
2.0,Australia,,2020-01-30 16:00:00,,,Victoria,
3.0,Australia,,2020-01-30 16:00:00,,,Queensland,
4.0,Germany,,2020-01-30 16:00:00,,,Bavaria,
1.0,Finland,,2020-01-30 16:00:00,,,,
4.0,United Arab Emirates,,2020-01-30 16:00:00,,,,
1.0,Philippines,,2020-01-30 16:00:00,,,,
1.0,India,,2020-01-30 16:00:00,,,,
5806.0,Mainland China,204.0,2020-01-31 23:59:00,,,Hubei,141.0
538.0,Mainland China,,2020-01-31 23:59:00,,,Zhejiang,14.0
436.0,Mainland China,,2020-01-31 23:59:00,,,Guangdong,11.0
